-0.87238,1.2088,1.6222,0.48436,2.5118,1.8933,0.55443,-0.31015,0.8487,0.18443
3.9034,5.2582,8.7415,2.9602,4.8067,2.6559,3.2188,3.6227,2.1112,6.0953
0.63863,0.12833,0.24782,0.53528,-0.0077655,0.55035,-0.1124,0.19873,-0.2448,0.40186
1.3169,2.0002,1.0877,0.19515,0.27758,2.156,2.1783,2.0511,1.8427,1.6348
-0.34877,0.1509,0.63131,0.21077,-0.012142,0.39345,-0.12989,0.36566,-0.22571,-0.041945
1.3653,1.1753,0.60021,0.60863,1.6075,2.7042,0.89316,1.3631,1.9721,0.46764
7.6591,8.0652,0.19642,4.3539,3.7205,8.463,4.6432,4.9089,7.4612,5.9765
2.1792,2.4337,0.3615,-0.069584,1.0522,1.6667,1.9806,-0.47917,2.7359,1.8307
-0.51357,-0.90239,0.10801,-0.083931,-0.32965,0.061782,0.078967,0.083139,-0.41766,-0.17987
0.068596,0.070723,-0.33481,0.071605,0.35775,-0.21361,-0.83365,-0.87703,-0.14254,-0.20013
